order_details_id,order_id,pizza_id,quantity,order_date,order_time,unit_price,total_size,pizza_size,pizza_category,pizza_ingredients,pizza_name
499,214,ital_supr_m,1,2015-01-04,13:39:16,17,,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
501,214,spin_pesto_m,1,2015-01-04,13:39:16,17,,M,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza
498,214,ital_cpcllo_l,1,2015-01-04,13:39:16,21,,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
497,213,four_cheese_l,1,2015-01-04,13:20:39,18,,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
496,212,ital_cpcllo_l,1,2015-01-04,13:16:03,21,,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
495,211,pepperoni_s,1,2015-01-04,12:54:20,10,,S,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
494,210,spinach_fet_s,1,2015-01-04,12:34:13,12,,S,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza
493,209,cali_ckn_l,1,2015-01-04,12:29:17,21,,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
490,208,ckn_alfredo_m,1,2015-01-04,12:12:05,17,,M,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza
491,208,pepperoni_m,1,2015-01-04,12:12:05,13,,M,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
492,208,the_greek_m,1,2015-01-04,12:12:05,16,,M,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza
487,207,spicy_ital_l,1,2015-01-04,12:03:58,21,,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza
484,206,napolitana_m,1,2015-01-04,11:45:10,16,,M,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza
485,206,pepperoni_s,1,2015-01-04,11:45:10,10,,S,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
486,206,spicy_ital_l,1,2015-01-04,11:45:10,21,,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza
481,205,cali_ckn_s,1,2015-01-04,11:43:54,13,,S,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
483,205,prsc_argla_s,1,2015-01-04,11:43:54,13,,S,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza
482,205,ckn_alfredo_m,1,2015-01-04,11:43:54,17,,M,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza
480,204,spicy_ital_l,1,2015-01-04,11:36:25,21,,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza
479,203,the_greek_s,1,2015-01-04,11:30:48,12,,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza
476,203,cali_ckn_l,1,2015-01-04,11:30:48,21,,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
477,203,ital_veggie_m,1,2015-01-04,11:30:48,17,,M,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",The Italian Vegetables Pizza
478,203,pep_msh_pep_l,1,2015-01-04,11:30:48,18,,L,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza"
475,202,cali_ckn_s,1,2015-01-03,22:50:29,13,,S,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
471,201,calabrese_m,1,2015-01-03,22:29:59,16,,M,Supreme,"慛duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",The Calabrese Pizza
474,201,the_greek_xl,1,2015-01-03,22:29:59,26,,XL,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza
473,201,ital_supr_l,1,2015-01-03,22:29:59,21,,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
472,201,ckn_pesto_l,1,2015-01-03,22:29:59,21,,L,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza
